CustomerId,FirstName,LastName,City,Country,Phone,OrderId,OrderDate,OrderNumber,TotalAmount,ProductId,ProductName,UnitPrice,Package,IsDiscontinued,SupplierId,CompanyName,ContactName,City,Country,Phone,Fax
1,Maria,Anders,Berlin,Germany,030-0074321,396,2013-08-25,542773,1086,28,R?ssle Sauerkraut,45.6,25 - 825 g cans,TRUE,12,Plutzer Lebensmittelgro?m?rkte AG,Martin Bein,Frankfurt,Germany,(069) 992755,NULL
1,Maria,Anders,Berlin,Germany,030-0074321,396,2013-08-25,542773,1086,39,Chartreuse verte,18,750 cc per bottle,FALSE,18,Aux joyeux ecclésiastiques,Guylène Nodier,Paris,France,(1) 03.83.00.68,(1) 03.83.00.62
1,Maria,Anders,Berlin,Germany,030-0074321,396,2013-08-25,542773,1086,46,Spegesild,12,4 - 450 g glasses,FALSE,21,Lyngbysild,Niels Petersen,Lyngby,Denmark,43844108,43844115
1,Maria,Anders,Berlin,Germany,030-0074321,445,2013-10-03,542822,878,63,Vegie-spread,43.9,15 - 625 g jars,FALSE,7,"Pavlova, Ltd.",Ian Devling,Melbourne,Australia,(03) 444-2343,(03) 444-6588
1,Maria,Anders,Berlin,Germany,030-0074321,455,2013-10-13,542832,330,3,Aniseed Syrup,10,12 - 550 ml bottles,FALSE,1,Exotic Liquids,Charlotte Cooper,London,UK,(171) 555-2222,NULL
1,Maria,Anders,Berlin,Germany,030-0074321,455,2013-10-13,542832,330,76,Lakkalik??ri,18,500 ml,FALSE,23,Karkki Oy,Anne Heikkonen,Lappeenranta,Finland,(953) 10956,NULL
1,Maria,Anders,Berlin,Germany,030-0074321,764,2014-04-09,543141,960,58,Escargots de Bourgogne,13.25,24 pieces,FALSE,27,Escargots Nouveaux,Marie Delamare,Montceau,France,85.57.00.07,NULL
1,Maria,Anders,Berlin,Germany,030-0074321,764,2014-04-09,543141,960,71,Flotemysost,21.5,10 - 500 g pkgs.,FALSE,15,Norske Meierier,Beate Vileid,Sandvika,Norway,(0)2-953010,NULL
1,Maria,Anders,Berlin,Germany,030-0074321,588,2014-01-15,542965,851,59,Raclette Courdavault,55,5 kg pkg.,FALSE,28,Gai pâturage,Eliane Noz,Annecy,France,38.76.98.06,38.76.98.58
1,Maria,Anders,Berlin,Germany,030-0074321,588,2014-01-15,542965,851,77,Original Frankfurter grüne So?e,13,12 boxes,FALSE,12,Plutzer Lebensmittelgro?m?rkte AG,Martin Bein,Frankfurt,Germany,(069) 992755,NULL
1,Maria,Anders,Berlin,Germany,030-0074321,705,2014-03-16,543082,491.2,6,Grandma's Boysenberry Spread,25,12 - 8 oz jars,FALSE,3,Grandma Kelly's Homestead,Regina Murphy,Ann Arbor,USA,(313) 555-5735,(313) 555-3349
1,Maria,Anders,Berlin,Germany,030-0074321,705,2014-03-16,543082,491.2,28,R?ssle Sauerkraut,45.6,25 - 825 g cans,TRUE,12,Plutzer Lebensmittelgro?m?rkte AG,Martin Bein,Frankfurt,Germany,(069) 992755,NULL
2,Ana,Trujillo,México D.F.,Mexico,(5) 555-4729,61,2012-09-18,542438,88.8,69,Gudbrandsdalsost,36,10 kg pkg.,FALSE,15,Norske Meierier,Beate Vileid,Sandvika,Norway,(0)2-953010,NULL
2,Ana,Trujillo,México D.F.,Mexico,(5) 555-4729,61,2012-09-18,542438,88.8,70,Outback Lager,15,24 - 355 ml bottles,FALSE,7,"Pavlova, Ltd.",Ian Devling,Melbourne,Australia,(03) 444-2343,(03) 444-6588
2,Ana,Trujillo,México D.F.,Mexico,(5) 555-4729,378,2013-08-08,542755,479.75,14,Tofu,23.25,40 - 100 g pkgs.,FALSE,6,Mayumi's,Mayumi Ohno,Osaka,Japan,(06) 431-7877,NULL
2,Ana,Trujillo,México D.F.,Mexico,(5) 555-4729,378,2013-08-08,542755,479.75,42,Singaporean Hokkien Fried Mee,14,32 - 1 kg pkgs.,TRUE,20,Leka Trading,Chandra Leka,Singapore,Singapore,555-8787,NULL
2,Ana,Trujillo,México D.F.,Mexico,(5) 555-4729,378,2013-08-08,542755,479.75,60,Camembert Pierrot,34,15 - 300 g rounds,FALSE,28,Gai pâturage,Eliane Noz,Annecy,France,38.76.98.06,38.76.98.58
2,Ana,Trujillo,México D.F.,Mexico,(5) 555-4729,512,2013-11-28,542889,320,32,Mascarpone Fabioli,32,24 - 200 g pkgs.,FALSE,14,Formaggi Fortini s.r.l.,Elio Rossi,Ravenna,Italy,(0544) 60323,(0544) 60603
2,Ana,Trujillo,México D.F.,Mexico,(5) 555-4729,679,2014-03-04,543056,514.4,11,Queso Cabrales,21,1 kg pkg.,FALSE,5,Cooperativa de Quesos 'Las Cabras',Antonio del Valle Saavedra,Oviedo,Spain,(98) 598 76 54,NULL
2,Ana,Trujillo,México D.F.,Mexico,(5) 555-4729,679,2014-03-04,543056,514.4,13,Konbu,6,2 kg box,FALSE,6,Mayumi's,Mayumi Ohno,Osaka,Japan,(06) 431-7877,NULL
2,Ana,Trujillo,México D.F.,Mexico,(5) 555-4729,679,2014-03-04,543056,514.4,19,Teatime Chocolate Biscuits,9.2,10 boxes x 12 pieces,FALSE,8,"Specialty Biscuits, Ltd.",Peter Wilson,Manchester,UK,(161) 555-4448,NULL
